ticker,date,dividends,currency
NLMK,2018-01-09,5.13,RUR
AKRN,2018-01-23,112.0,RUR
PHOR,2018-03-12,21.0,RUR
HIMCP,2018-03-25,0.119,RUR
GCHE,2018-04-03,75.07,RUR
NVTK,2018-05-03,8.0,RUR
KAZT,2018-05-10,2.0,RUR
KAZTP,2018-05-10,2.0,RUR
MOEX,2018-05-15,5.47,RUR
TTLK,2018-05-15,0.019222,RUR
TRCN,2018-05-28,293.04,RUR
DSKY,2018-05-29,3.88,RUR
PMSBP,2018-05-30,8.367593,RUR
IRAO,2018-06-01,0.130383141762452,RUR
BSPB,2018-06-04,1.62,RUR
VTBR,2018-06-04,0.00345349138975912,RUR
VSMO,2018-06-06,890.45,RUR
SFIN,2018-06-08,17.25,RUR
PLZL,2018-06-10,147.12,RUR
MRKP,2018-06-12,0.040247,RUR
MAGN,2018-06-13,0.806,RUR
MRKC,2018-06-13,0.0208212,RUR
MRKU,2018-06-13,0.0216,RUR
MRKV,2018-06-13,0.01484178,RUR
PHOR,2018-06-13,15.0,RUR
AKRN,2018-06-14,185.0,RUR
CNTLP,2018-06-18,0.030069,RUR
KZOS,2018-06-18,4.253,RUR
KZOSP,2018-06-18,0.25,RUR
MSNG,2018-06-18,0.16595,RUR
MSRS,2018-06-18,0.03163,RUR
CHMF,2018-06-19,27.72,RUR
CHMF,2018-06-19,38.32,RUR
LSNGP,2018-06-19,13.4682,RUR
MRKS,2018-06-19,0.0037,RUR
MRKY,2018-06-20,0.005464428621,RUR
NLMK,2018-06-20,3.36,RUR
NLMK,2018-06-20,5.73,RUR
VRSB,2018-06-20,1.3656828,RUR
ENRU,2018-06-22,0.14493,RUR
MAGN,2018-06-25,0.801,RUR
OMZZP,2018-06-25,0.012,RUR
TGKA,2018-06-25,0.000489802,RUR
HIMCP,2018-06-26,0.2095,RUR
NKHP,2018-06-26,5.65712,RUR
SBER,2018-06-26,12.0,RUR
SBERP,2018-06-26,12.0,RUR
SIBN,2018-06-26,5.0,RUR
ROSN,2018-07-02,6.65,RUR
KRSBP,2018-07-03,0.5072173755,RUR
MSTT,2018-07-03,2.19,RUR
PRMB,2018-07-03,500.0,RUR
UPRO,2018-07-03,0.1110252759795,RUR
AFLT,2018-07-06,12.8053,RUR
MGNT,2018-07-06,135.5,RUR
TATN,2018-07-06,12.16,RUR
TATNP,2018-07-06,12.16,RUR
HYDR,2018-07-07,0.0263335,RUR
RTKM,2018-07-08,5.045825249373,RUR
RTKMP,2018-07-08,5.045825249373,RUR
BANE,2018-07-09,158.95,RUR
BANEP,2018-07-09,158.95,RUR
MRSB,2018-07-09,0.0185868,RUR
MRSB,2018-07-09,0.0116502,RUR
MTSS,2018-07-09,23.4,RUR
RSTI,2018-07-09,0.011965,RUR
RSTIP,2018-07-09,0.04287,RUR
LSRG,2018-07-10,78.0,RUR
OGKB,2018-07-10,0.016319020075,RUR
SELGP,2018-07-10,1.44,RUR
TRNFP,2018-07-10,7578.27,RUR
VZRZP,2018-07-10,2.0,RUR
KRKNP,2018-07-11,1035.34,RUR
LKOH,2018-07-11,130.0,RUR
MGTSP,2018-07-12,231.0,RUR
ALRS,2018-07-14,5.24,RUR
GMKN,2018-07-17,607.98,RUR
IRKT,2018-07-17,1.14,RUR
FEES,2018-07-18,0.014815395834,RUR
KMAZ,2018-07-18,1.06,RUR
MTLRP,2018-07-18,16.66,RUR
AFKS,2018-07-19,0.11,RUR
GAZP,2018-07-19,8.04,RUR
SNGS,2018-07-19,0.65,RUR
SNGSP,2018-07-19,1.38,RUR
PHOR,2018-07-23,24.0,RUR
PIKK,2018-09-04,22.71,RUR
CHMF,2018-09-25,45.94,RUR
GMKN,2018-10-01,776.02,RUR
GCHE,2018-10-08,20.48,RUR
MAGN,2018-10-09,1.589,RUR
MTSS,2018-10-09,2.6,RUR
NMTP,2018-10-09,0.519216,RUR
ROSN,2018-10-09,14.58,RUR
NVTK,2018-10-10,9.25,RUR
NLMK,2018-10-12,5.24,RUR
PHOR,2018-10-12,45.0,RUR
TATN,2018-10-12,30.27,RUR
TATNP,2018-10-12,30.27,RUR
VSMO,2018-10-12,756.0,RUR
ALRS,2018-10-15,5.93,RUR
PLZL,2018-10-18,131.11,RUR
AKRN,2018-10-30,40.0,RUR
CHMF,2018-12-04,44.39,RUR
HIMCP,2018-12-11,0.1381,RUR
NKHP,2018-12-17,17.75,RUR
MAGN,2018-12-18,2.114,RUR
UPRO,2018-12-18,0.1110252759795,RUR
LKOH,2018-12-21,95.0,RUR
MGNT,2018-12-21,137.38,RUR
KAZT,2018-12-23,2.0,RUR
KAZTP,2018-12-23,2.0,RUR
DSKY,2018-12-26,4.39,RUR
